gen,freq,rep
0,0.20,0
0,0.23,1
0,0.14,2
0,0.24,3
0,0.20,4
0,0.28,5
0,0.23,6
0,0.20,7
0,0.20,8
0,0.16,9
1,0.20,0
1,0.25,1
1,0.12,2
1,0.26,3
1,0.19,4
1,0.23,5
1,0.26,6
1,0.23,7
1,0.16,8
1,0.13,9
2,0.26,0
2,0.26,1
2,0.14,2
2,0.23,3
2,0.18,4
2,0.22,5
2,0.20,6
2,0.23,7
2,0.17,8
2,0.14,9
3,0.25,0
3,0.22,1
3,0.17,2
3,0.18,3
3,0.20,4
3,0.20,5
3,0.21,6
3,0.25,7
3,0.15,8
3,0.15,9
4,0.27,0
4,0.22,1
4,0.19,2
4,0.14,3
4,0.23,4
4,0.19,5
4,0.17,6
4,0.30,7
4,0.14,8
4,0.16,9
5,0.28,0
5,0.20,1
5,0.16,2
5,0.10,3
5,0.22,4
5,0.18,5
5,0.12,6
5,0.28,7
5,0.14,8
5,0.13,9
6,0.24,0
6,0.21,1
6,0.17,2
6,0.09,3
6,0.24,4
6,0.18,5
6,0.09,6
6,0.25,7
6,0.15,8
6,0.12,9
7,0.23,0
7,0.18,1
7,0.17,2
7,0.07,3
7,0.23,4
7,0.19,5
7,0.10,6
7,0.28,7
7,0.14,8
7,0.13,9
8,0.21,0
8,0.21,1
8,0.15,2
8,0.09,3
8,0.21,4
8,0.18,5
8,0.09,6
8,0.24,7
8,0.16,8
8,0.12,9
9,0.18,0
9,0.21,1
9,0.17,2
9,0.06,3
9,0.20,4
9,0.22,5
9,0.10,6
9,0.21,7
9,0.14,8
9,0.13,9
10,0.14,0
10,0.23,1
10,0.13,2
10,0.07,3
10,0.18,4
10,0.18,5
10,0.09,6
10,0.19,7
10,0.16,8
10,0.17,9
11,0.16,0
11,0.23,1
11,0.10,2
11,0.10,3
11,0.20,4
11,0.19,5
11,0.08,6
11,0.16,7
11,0.12,8
11,0.22,9
12,0.14,0
12,0.20,1
12,0.10,2
12,0.12,3
12,0.23,4
12,0.21,5
12,0.07,6
12,0.17,7
12,0.15,8
12,0.28,9
13,0.15,0
13,0.15,1
13,0.09,2
13,0.12,3
13,0.32,4
13,0.21,5
13,0.07,6
13,0.20,7
13,0.12,8
13,0.25,9
14,0.16,0
14,0.12,1
14,0.09,2
14,0.14,3
14,0.33,4
14,0.21,5
14,0.10,6
14,0.19,7
14,0.15,8
14,0.24,9
15,0.15,0
15,0.13,1
15,0.07,2
15,0.15,3
15,0.33,4
15,0.20,5
15,0.10,6
15,0.21,7
15,0.13,8
15,0.24,9
16,0.14,0
16,0.14,1
16,0.11,2
16,0.17,3
16,0.35,4
16,0.17,5
16,0.11,6
16,0.23,7
16,0.12,8
16,0.23,9
17,0.14,0
17,0.11,1
17,0.11,2
17,0.20,3
17,0.34,4
17,0.20,5
17,0.15,6
17,0.20,7
17,0.12,8
17,0.29,9
18,0.17,0
18,0.10,1
18,0.10,2
18,0.17,3
18,0.34,4
18,0.25,5
18,0.19,6
18,0.22,7
18,0.13,8
18,0.35,9
19,0.15,0
19,0.05,1
19,0.10,2
19,0.16,3
19,0.34,4
19,0.27,5
19,0.18,6
19,0.20,7
19,0.15,8
19,0.33,9
20,0.15,0
20,0.04,1
20,0.10,2
20,0.14,3
20,0.36,4
20,0.32,5
20,0.23,6
20,0.15,7
20,0.18,8
20,0.30,9
21,0.15,0
21,0.04,1
21,0.07,2
21,0.14,3
21,0.36,4
21,0.34,5
21,0.23,6
21,0.14,7
21,0.15,8
21,0.27,9
22,0.13,0
22,0.07,1
22,0.09,2
22,0.12,3
22,0.33,4
22,0.34,5
22,0.17,6
22,0.14,7
22,0.15,8
22,0.27,9
23,0.14,0
23,0.05,1
23,0.10,2
23,0.11,3
23,0.32,4
23,0.40,5
23,0.19,6
23,0.15,7
23,0.14,8
23,0.29,9
24,0.14,0
24,0.06,1
24,0.07,2
24,0.04,3
24,0.30,4
24,0.36,5
24,0.21,6
24,0.15,7
24,0.14,8
24,0.25,9
25,0.15,0
25,0.04,1
25,0.06,2
25,0.04,3
25,0.30,4
25,0.33,5
25,0.24,6
25,0.14,7
25,0.14,8
25,0.28,9
26,0.15,0
26,0.06,1
26,0.05,2
26,0.05,3
26,0.30,4
26,0.27,5
