gen	neutral	del	ben
1 	 1.856 	 0.209 	 0.016
2 	 3.662 	 0.41 	 0.038
3 	 5.528 	 0.558 	 0.06
4 	 7.386 	 0.681 	 0.067
5 	 9.118 	 0.896 	 0.082
6 	 10.807 	 1.061 	 0.08
7 	 12.452 	 1.2 	 0.097
8 	 14.307 	 1.394 	 0.11
9 	 16.081 	 1.662 	 0.139
10 	 17.886 	 1.84 	 0.149
11 	 19.582 	 2.009 	 0.164
12 	 21.428 	 2.125 	 0.187
13 	 22.988 	 2.271 	 0.192
14 	 24.619 	 2.481 	 0.217
15 	 26.416 	 2.633 	 0.239
16 	 28.097 	 2.805 	 0.267
17 	 29.549 	 2.993 	 0.324
18 	 31.808 	 3.172 	 0.334
19 	 33.719 	 3.337 	 0.349
20 	 35.69 	 3.486 	 0.344
21 	 37.424 	 3.652 	 0.366
22 	 39.48 	 3.765 	 0.428
23 	 41.756 	 3.914 	 0.465
24 	 43.633 	 4.181 	 0.463
25 	 45.428 	 4.337 	 0.488
26 	 46.947 	 4.412 	 0.531
27 	 48.172 	 4.523 	 0.534
28 	 50.084 	 4.651 	 0.571
29 	 51.864 	 4.777 	 0.575
30 	 53.974 	 4.991 	 0.594
31 	 55.903 	 5.137 	 0.61
32 	 57.704 	 5.428 	 0.654
33 	 59.706 	 5.646 	 0.662
34 	 61.325 	 5.74 	 0.67
35 	 63.133 	 6.011 	 0.678
36 	 64.791 	 6.193 	 0.726
37 	 66.333 	 6.236 	 0.758
38 	 68.07 	 6.336 	 0.82
39 	 69.598 	 6.515 	 0.834
40 	 71.58 	 6.672 	 0.796
41 	 73.613 	 6.841 	 0.858
42 	 74.78 	 6.933 	 0.921
43 	 76.358 	 7.205 	 0.949
44 	 78.192 	 7.325 	 0.968
45 	 79.984 	 7.573 	 0.972
46 	 81.758 	 7.636 	 0.985
47 	 83.868 	 7.822 	 0.985
48 	 85.364 	 8.032 	 1.018
49 	 87.479 	 8.133 	 1.067
50 	 89.376 	 8.288 	 1.13
51 	 91.522 	 8.478 	 1.202
52 	 93.652 	 8.595 	 1.263
53 	 95.857 	 8.811 	 1.317
54 	 97.506 	 8.78 	 1.367
55 	 99.619 	 8.987 	 1.355
56 	 101.436 	 9.21 	 1.345
57 	 102.875 	 9.347 	 1.365
58 	 104.826 	 9.53 	 1.409
59 	 106.449 	 9.75 	 1.426
60 	 108.785 	 9.771 	 1.485
61 	 110.673 	 9.934 	 1.569
62 	 112.706 	 10.118 	 1.576
63 	 114.666 	 10.212 	 1.696
64 	 116.686 	 10.278 	 1.662
65 	 118.487 	 10.414 	 1.731
66 	 120.548 	 10.567 	 1.719
67 	 122.661 	 10.858 	 1.779
68 	 125.082 	 11.123 	 1.816
69 	 127.324 	 11.3 	 1.801
70 	 129.146 	 11.419 	 1.853
71 	 131.356 	 11.474 	 1.938
72 	 133.002 	 11.636 	 2.011
73 	 134.439 	 11.836 	 2.007
74 	 135.593 	 11.898 	 2.012
75 	 138.335 	 12.089 	 2.078
76 	 140.096 	 12.138 	 2.088
77 	 141.266 	 12.385 	 2.114
78 	 142.474 	 12.559 	 2.144
79 	 144.344 	 12.688 	 2.149
80 	 146.059 	 12.931 	 2.201
81 	 148.228 	 13.03 	 2.217
82 	 149.912 	 13.266 	 2.196
83 	 151.632 	 13.57 	 2.227
84 	 153.44 	 13.78 	 2.327
85 	 155.752 	 13.912 	 2.359
86 	 157.754 	 14.074 	 2.512
87 	 159.443 	 14.135 	 2.5
88 	 161.333 	 14.385 	 2.601
89 	 163.562 	 14.551 	 2.697
90 	 164.782 	 14.516 	 2.817
91 	 166.712 	 14.74 	 2.82
92 	 168.377 	 14.877 	 2.941
93 	 169.965 	 14.998 	 3.017
94 	 171.884 	 15.22 	 3.063
95 	 173.69 	 15.763 	 3.146
96 	 175.526 	 15.958 	 3.315
97 	 177.204 	 16.167 	 3.392
98 	 178.409 	 16.339 	 3.507
99 	 180.489 	 16.65 	 3.47
100 	 182.589 	 16.69 	 3.47
101 	 184.347 	 16.822 	 3.477
102 	 186.635 	 17.069 	 3.451
103 	 188.79 	 17.129 	 3.386
104 	 189.777 	 17.21 	 3.418
105 	 191.705 	 17.172 	 3.575
106 	 193.928 	 17.35 	 3.58
107 	 195.741 	 17.669 	 3.669
108 	 198.031 	 17.975 	 3.688
109 	 199.588 	 17.988 	 3.709
110 	 201.926 	 18.079 	 3.764
111 	 203.417 	 18.483 	 3.808
112 	 205.106 	 18.72 	 3.845
113 	 206.99 	 18.902 	 3.951
114 	 209.367 	 19.409 	 4.053
115 	 211.086 	 19.411 	 4.11
116 	 213.643 	 19.567 	 4.218
117 	 215.76 	 19.746 	 4.314
118 	 218.552 	 20.165 	 4.426
119 	 220.671 	 20.176 	 4.491
120 	 222.528 	 20.256 	 4.521
121 	 224.733 	 20.32 	 4.656
122 	 227.285 	 20.689 	 4.798
123 	 229.235 	 20.86 	 4.876
124 	 231.707 	 20.941 	 4.957
125 	 233.84 	 21.301 	 5.031
126 	 236.391 	 21.185 	 5.058
127 	 237.831 	 21.148 	 5.063
128 	 239.484 	 21.22 	 5.271
129 	 241.03 	 21.535 	 5.292
130 	 242.363 	 21.761 	 5.406
131 	 245.255 	 22.143 	 5.539
132 	 246.913 	 22.234 	 5.571
133 	 249.662 	 21.987 	 5.618
134 	 251.512 	 22.091 	 5.657
135 	 253.535 	 22.367 	 5.737
136 	 255.658 	 22.464 	 5.766
137 	 257.506 	 22.381 	 5.864
138 	 260.04 	 22.535 	 6.048
139 	 262.045 	 22.482 	 6.177
140 	 264.144 	 22.51 	 6.337
141 	 266.807 	 22.868 	 6.442
142 	 269.095 	 23.131 	 6.528
143 	 270.894 	 23.347 	 6.576
144 	 272.884 	 23.297 	 6.804
145 	 274.216 	 23.532 	 7.001
146 	 275.806 	 23.819 	 7.148
147 	 278.008 	 24.225 	 7.323
148 	 279.821 	 24.407 	 7.347
149 	 281.08 	 24.701 	 7.412
150 	 283.1 	 24.951 	 7.644
151 	 284.713 	 24.868 	 7.806
152 	 286.045 	 25.05 	 8.001
153 	 287.928 	 25.032 	 8.201
154 	 289.854 	 25.061 	 8.303
155 	 291.212 	 25.028 	 8.471
156 	 293.24 	 25.136 	 8.53
157 	 296.015 	 25.386 	 8.763
158 	 297.172 	 25.659 	 8.854
159 	 299.19 	 25.946 	 8.953
160 	 300.207 	 26.146 	 9.126
161 	 301.635 	 26.166 	 9.228
162 	 303.465 	 26.258 	 9.368
163 	 304.744 	 26.373 	 9.584
164 	 307.517 	 26.925 	 9.573
165 	 309.579 	 26.911 	 9.811
166 	 311.121 	 26.863 	 10.119
167 	 312.929 	 27.08 	 10.177
168 	 314.197 	 27.058 	 10.175
169 	 315.902 	 27.161 	 10.295
170 	 317.593 	 27.186 	 10.355
171 	 318.396 	 27.591 	 10.42
172 	 319.698 	 27.676 	 10.553
173 	 321.615 	 27.73 	 10.524
174 	 323.014 	 27.734 	 10.727
175 	 324.828 	 27.764 	 10.878
176 	 326.851 	 27.829 	 11.087
177 	 329.252 	 28.199 	 11.165
178 	 330.713 	 28.339 	 11.426
179 	 332.222 	 28.396 	 11.694
180 	 333.81 	 28.243 	 11.83
181 	 335.951 	 28.098 	 11.834
182 	 338.285 	 28.417 	 12.074
183 	 339.576 	 28.838 	 12.239
184 	 341.014 	 28.996 	 12.411
185 	 342.891 	 29.055 	 12.709
186 	 344.745 	 28.976 	 12.851
187 	 345.563 	 29.179 	 13.158
188 	 348.118 	 29.075 	 13.425
189 	 349.598 	 29.428 	 13.557
190 	 351.355 	 29.68 	 13.703
191 	 354.316 	 29.858 	 13.846
192 	 355.564 	 29.901 	 13.941
193 	 356.848 	 29.893 	 14.112
194 	 358.764 	 29.951 	 14.22
195 	 361.72 	 29.924 	 14.448
196 	 362.791 	 29.815 	 14.643
197 	 364.466 	 29.722 	 14.914
198 	 365.335 	 29.944 	 15.105
199 	 367.277 	 30.094 	 15.388
200 	 369.797 	 30.196 	 15.691
201 	 371.678 	 29.864 	 15.986
202 	 372.815 	 29.971 	 16.296
203 	 375.163 	 30.265 	 16.423
204 	 377.399 	 30.296 	 16.68
205 	 378.945 	 30.248 	 16.992
206 	 380.009 	 30.473 	 17.241
207 	 382.547 	 30.532 	 17.478
208 	 384.376 	 30.69 	 17.843
209 	 386.356 	 31.212 	 18.066
210 	 387.638 	 31.604 	 18.227
211 	 388.708 	 31.604 	 18.484
212 	 390.136 	 31.635 	 18.763
213 	 391.703 	 31.917 	 18.932
214 	 394.8 	 32.1 	 19.109
215 	 396.635 	 32.227 	 19.225
216 	 399.176 	 32.262 	 19.465
217 	 401.04 	 32.706 	 19.583
218 	 403.196 	 32.395 	 19.928
219 	 404.268 	 32.342 	 20.182
220 	 405.384 	 32.439 	 20.42
221 	 407.517 	 32.334 	 20.58
222 	 408.695 	 32.445 	 20.824
223 	 410.846 	 32.446 	 20.985
224 	 412.686 	 32.518 	 21.098
225 	 413.858 	 32.602 	 21.346
226 	 414.994 	 32.812 	 21.524
227 	 417.053 	 32.951 	 21.966
228 	 419.344 	 32.662 	 22.316
229 	 420.861 	 32.578 	 22.717
230 	 422.551 	 32.737 	 22.909
231 	 424.582 	 32.584 	 23.141
232 	 426.339 	 32.544 	 23.23
233 	 428.266 	 32.646 	 23.518
234 	 430.299 	 32.657 	 23.798
235 	 431.6 	 32.603 	 23.975
236 	 433.446 	 32.664 	 24.24
