gen	neutral	del	ben
1 	 1.843 	 0.183 	 0.019
2 	 3.663 	 0.389 	 0.032
3 	 5.381 	 0.603 	 0.047
4 	 7.267 	 0.766 	 0.059
5 	 9.011 	 0.968 	 0.092
6 	 10.88 	 1.111 	 0.138
7 	 12.935 	 1.336 	 0.162
8 	 14.834 	 1.551 	 0.163
9 	 16.725 	 1.626 	 0.168
10 	 18.675 	 1.79 	 0.189
11 	 20.18 	 1.972 	 0.193
12 	 22.017 	 2.204 	 0.194
13 	 23.747 	 2.328 	 0.218
14 	 25.561 	 2.524 	 0.237
15 	 27.537 	 2.68 	 0.271
16 	 29.296 	 2.926 	 0.293
17 	 30.892 	 3.157 	 0.313
18 	 32.766 	 3.271 	 0.325
19 	 34.538 	 3.508 	 0.318
20 	 36.403 	 3.617 	 0.329
21 	 38.221 	 3.89 	 0.345
22 	 40.552 	 4.023 	 0.387
23 	 42.35 	 4.175 	 0.409
24 	 44.018 	 4.248 	 0.446
25 	 45.936 	 4.465 	 0.496
26 	 47.679 	 4.617 	 0.493
27 	 49.075 	 4.782 	 0.534
28 	 50.839 	 4.943 	 0.536
29 	 52.521 	 5.151 	 0.596
30 	 54.287 	 5.405 	 0.603
31 	 56.478 	 5.616 	 0.608
32 	 58.231 	 5.828 	 0.617
33 	 60.197 	 6.051 	 0.649
34 	 62.257 	 6.247 	 0.685
35 	 64.04 	 6.434 	 0.707
36 	 65.783 	 6.567 	 0.737
37 	 67.643 	 6.715 	 0.807
38 	 69.475 	 6.849 	 0.869
39 	 71.209 	 6.953 	 0.84
40 	 73.1 	 7.15 	 0.874
41 	 75.255 	 7.298 	 0.866
42 	 77.546 	 7.447 	 0.841
43 	 79.404 	 7.524 	 0.879
44 	 81.46 	 7.72 	 0.888
45 	 83.197 	 7.86 	 0.881
46 	 84.529 	 7.861 	 0.913
47 	 85.942 	 7.983 	 0.955
48 	 87.592 	 8.231 	 1.02
49 	 90.073 	 8.325 	 1.078
50 	 91.992 	 8.589 	 1.083
51 	 93.767 	 8.75 	 1.052
52 	 95.611 	 8.86 	 1.115
53 	 98.035 	 8.935 	 1.117
54 	 99.826 	 8.943 	 1.206
55 	 101.327 	 9.07 	 1.223
56 	 103.259 	 9.276 	 1.276
57 	 104.918 	 9.465 	 1.347
58 	 107.171 	 9.639 	 1.383
59 	 109.245 	 9.873 	 1.386
60 	 111.257 	 10.068 	 1.424
61 	 113.214 	 10.222 	 1.452
62 	 115.612 	 10.292 	 1.49
63 	 117.098 	 10.568 	 1.546
64 	 119.43 	 10.644 	 1.6
65 	 121.223 	 10.772 	 1.783
66 	 123.437 	 11.132 	 1.858
67 	 125.559 	 11.433 	 1.892
68 	 127.257 	 11.489 	 1.955
69 	 129.603 	 11.766 	 1.97
70 	 131.697 	 11.761 	 1.949
71 	 134.108 	 12.08 	 1.963
72 	 135.659 	 12.412 	 1.932
73 	 137.446 	 12.755 	 1.942
74 	 139.246 	 12.93 	 1.942
75 	 140.436 	 12.968 	 1.957
76 	 142.864 	 13.167 	 1.976
77 	 145.519 	 13.262 	 1.994
78 	 147.27 	 13.332 	 2.085
79 	 149.156 	 13.587 	 2.17
80 	 151.243 	 13.681 	 2.265
81 	 153.258 	 13.655 	 2.333
82 	 154.945 	 13.989 	 2.401
83 	 156.773 	 14.256 	 2.495
84 	 159.111 	 14.418 	 2.528
85 	 161.092 	 14.72 	 2.615
86 	 163.397 	 14.878 	 2.675
87 	 164.942 	 15.039 	 2.728
88 	 166.996 	 15.229 	 2.778
89 	 168.875 	 15.775 	 2.851
90 	 170.287 	 16.088 	 2.937
91 	 171.332 	 16.527 	 2.985
92 	 172.94 	 16.66 	 3.031
93 	 174.739 	 16.762 	 3.066
94 	 176.154 	 16.893 	 3.204
95 	 178.138 	 16.932 	 3.194
96 	 180.434 	 17.085 	 3.235
97 	 182.149 	 17.223 	 3.292
98 	 183.451 	 17.362 	 3.329
99 	 184.734 	 17.481 	 3.334
100 	 186.706 	 17.787 	 3.354
101 	 189.867 	 17.948 	 3.448
102 	 191.976 	 18.021 	 3.491
103 	 192.627 	 18.147 	 3.478
104 	 194.31 	 18.434 	 3.511
105 	 195.909 	 18.677 	 3.485
106 	 197.016 	 19.261 	 3.579
107 	 198.894 	 19.244 	 3.594
108 	 200.761 	 19.313 	 3.73
109 	 202.012 	 19.546 	 3.911
110 	 203.312 	 19.843 	 4.058
111 	 206.3 	 20.033 	 4.059
112 	 208.861 	 20.06 	 4.219
113 	 210.146 	 20.41 	 4.415
114 	 212.353 	 20.747 	 4.557
115 	 213.493 	 20.851 	 4.728
116 	 214.876 	 21.069 	 4.652
117 	 217.317 	 21.186 	 4.748
118 	 218.833 	 21.506 	 4.859
119 	 220.187 	 21.702 	 4.946
120 	 222.167 	 22.021 	 5.032
121 	 224.158 	 21.939 	 5.021
122 	 226.241 	 21.892 	 5.066
123 	 228.383 	 21.864 	 5.1
124 	 230.495 	 22.244 	 5.274
125 	 232.925 	 22.555 	 5.322
126 	 234.698 	 23.033 	 5.425
127 	 236.118 	 23.241 	 5.613
128 	 237.75 	 23.274 	 5.731
129 	 239.733 	 23.308 	 5.832
130 	 240.68 	 23.71 	 5.837
131 	 242.537 	 24.069 	 5.957
132 	 244.281 	 24.442 	 6.07
133 	 246.841 	 24.581 	 6.198
134 	 248.014 	 24.773 	 6.296
135 	 249.896 	 25.208 	 6.394
136 	 251.666 	 25.343 	 6.557
137 	 252.671 	 25.611 	 6.546
138 	 254.636 	 25.804 	 6.78
139 	 256.682 	 26.009 	 6.875
140 	 258.732 	 26.416 	 6.976
141 	 259.907 	 26.888 	 7.149
142 	 262.374 	 27.116 	 7.138
143 	 265.082 	 27.112 	 7.172
144 	 267.428 	 27.382 	 7.302
145 	 268.383 	 27.584 	 7.415
146 	 270.344 	 27.832 	 7.496
147 	 272.762 	 27.781 	 7.446
148 	 274.73 	 27.8 	 7.658
149 	 276.84 	 28.029 	 7.796
150 	 278.382 	 28.041 	 7.95
151 	 280.138 	 28.304 	 8.054
152 	 282.352 	 28.492 	 8.212
153 	 284.277 	 28.771 	 8.553
154 	 286.432 	 28.807 	 8.79
155 	 288.608 	 28.892 	 8.811
156 	 290.238 	 29.274 	 8.867
157 	 291.811 	 29.507 	 8.928
158 	 293.712 	 29.763 	 9.079
159 	 295.805 	 30.056 	 9.123
160 	 297.818 	 29.99 	 9.175
161 	 300.275 	 30.06 	 9.393
162 	 302.999 	 30.228 	 9.541
163 	 304.49 	 30.391 	 9.647
164 	 306.012 	 30.71 	 9.722
165 	 308.389 	 30.841 	 9.884
166 	 310.445 	 30.794 	 10.071
167 	 312.764 	 30.656 	 10.159
168 	 314.71 	 30.79 	 10.221
169 	 316.291 	 30.998 	 10.336
170 	 318.983 	 30.893 	 10.381
171 	 320.674 	 31.284 	 10.535
172 	 322.576 	 31.349 	 10.564
173 	 324.269 	 31.447 	 10.696
174 	 326.486 	 31.862 	 10.809
175 	 329.124 	 32.108 	 10.684
176 	 331.311 	 32.452 	 10.712
177 	 332.49 	 32.822 	 10.953
178 	 334.691 	 32.891 	 11.105
179 	 336.213 	 33.171 	 11.2
180 	 337.765 	 33.478 	 11.341
181 	 339.581 	 33.669 	 11.491
182 	 341.524 	 33.814 	 11.469
183 	 343.461 	 34.037 	 11.563
184 	 345.095 	 34.171 	 11.766
185 	 347.651 	 33.901 	 11.805
186 	 349.928 	 33.996 	 12.033
187 	 351.97 	 34.147 	 12.196
188 	 353.983 	 34.294 	 12.332
189 	 355.534 	 34.48 	 12.4
190 	 356.797 	 34.384 	 12.49
191 	 358.167 	 34.461 	 12.417
192 	 360.592 	 34.644 	 12.655
193 	 362.777 	 35.082 	 12.871
194 	 363.985 	 35.113 	 12.971
195 	 366.137 	 35.228 	 12.956
196 	 368.038 	 35.717 	 12.968
197 	 369.834 	 35.88 	 13.154
198 	 371.978 	 35.858 	 13.27
199 	 373.847 	 35.871 	 13.469
200 	 376.295 	 36.361 	 13.526
201 	 378.357 	 36.679 	 13.572
202 	 379.317 	 36.76 	 13.735
203 	 380.919 	 36.883 	 13.772
204 	 382.927 	 36.725 	 13.811
205 	 383.298 	 37.051 	 13.928
206 	 384.531 	 37.263 	 14.028
207 	 386.606 	 37.351 	 14.123
208 	 387.909 	 37.781 	 14.137
209 	 389.949 	 37.97 	 14.351
210 	 391.289 	 38.314 	 14.591
211 	 393.406 	 38.454 	 14.776
212 	 394.914 	 38.297 	 14.822
213 	 397.227 	 38.226 	 14.978
214 	 399.754 	 38.219 	 15.121
215 	 401.678 	 38.477 	 15.202
216 	 403.837 	 38.705 	 15.451
217 	 405.553 	 38.69 	 15.415
218 	 407.536 	 39.004 	 15.533
219 	 408.456 	 39.143 	 15.781
220 	 410.477 	 39.155 	 15.99
221 	 412.559 	 39.237 	 16.149
222 	 414.38 	 39.195 	 16.252
223 	 416.94 	 39.162 	 16.441
224 	 418.975 	 38.791 	 16.603
225 	 420.423 	 38.875 	 16.728
226 	 421.279 	 38.873 	 16.94
227 	 423.011 	 39.082 	 16.936
228 	 424.479 	 39.265 	 16.987
229 	 425.749 	 39.44 	 17.153
230 	 427.582 	 39.673 	 17.312
231 	 428.313 	 39.661 	 17.442
232 	 430.372 	 39.667 	 17.628
233 	 432.671 	 39.642 	 17.824
234 	 432.945 	 39.644 	 17.955
235 	 435.351 	 39.824 	 18.035
236 	 437.598 	 40.013 	 18.117
237 	 440.081 	 40.161 	 18.157
238 	 442.102 	 40.478 	 18.2
239 	 444.798 	 40.48 	 18.423
240 	 446.379 	 40.323 	 18.662
241 	 447.344 	 40.401 	 18.795
242 	 448.828 	 40.219 	 18.878
243 	 450.684 	 40.555 	 18.912
244 	 453.033 	 40.346 	 19.011
245 	 453.567 	 40.481 	 19.193
246 	 454.676 	 40.805 	 19.422
247 	 455.629 	 40.895 	 19.633
248 	 456.595 	 41.517 	 19.653
249 	 458.022 	 41.428 	 19.904
250 	 459.503 	 41.156 	 19.875
251 	 460.18 	 41.45 	 20.047
252 	 462.432 	 41.398 	 20.162
253 	 464.01 	 41.709 	 20.337
254 	 466.685 	 41.444 	 20.436
255 	 468.656 	 41.463 	 20.636
256 	 470.218 	 41.79 	 20.869
257 	 472.083 	 42.097 	 21.172
258 	 473.142 	 41.916 	 21.21
259 	 475.655 	 41.953 	 21.27
260 	 476.326 	 42.229 	 21.535
261 	 479.129 	 42.269 	 21.64
262 	 480.872 	 42.403 	 21.849
263 	 482.338 	 42.648 	 22.119
264 	 483.921 	 42.739 	 22.277
265 	 485.951 	 42.787 	 22.439
266 	 487.342 	 42.956 	 22.564
267 	 489.806 	 42.879 	 22.693
268 	 492.094 	 43.16 	 22.89
269 	 493.96 	 43.368 	 23.081
270 	 496.801 	 43.534 	 23.265
271 	 498.806 	 43.656 	 23.391
272 	 501.65 	 43.634 	 23.398
273 	 503.501 	 43.928 	 23.671
274 	 505.421 	 44.154 	 23.774
275 	 507.033 	 44.34 	 23.924
276 	 508.202 	 44.619 	 24.168
277 	 510.862 	 44.203 	 24.312
278 	 512.033 	 44.037 	 24.587
279 	 512.189 	 44.296 	 24.813
280 	 514.443 	 44.182 	 25.191
281 	 516.106 	 44.09 	 25.305
282 	 517.764 	 44.103 	 25.184
283 	 518.385 	 43.864 	 25.606
284 	 520.712 	 43.856 	 25.868
285 	 522.224 	 43.851 	 25.785
286 	 523.6 	 44.163 	 25.932
287 	 525.195 	 44.42 	 26.108
288 	 527.221 	 44.824 	 26.265
289 	 529.91 	 44.864 	 26.335
290 	 530.266 	 44.96 	 26.608
291 	 531.369 	 45.009 	 26.702
292 	 532.591 	 44.907 	 26.78
293 	 533.119 	 45.103 	 26.862
294 	 535.679 	 45.506 	 26.941
295 	 537.678 	 45.577 	 27.146
296 	 540.284 	 45.876 	 27.378
297 	 540.849 	 46.003 	 27.678
298 	 542.494 	 46.252 	 27.82
299 	 544.311 	 46.48 	 28.132
300 	 546.146 	 46.668 	 28.138
301 	 548.724 	 46.396 	 28.31
302 	 550.02 	 46.304 	 28.586
303 	 552.792 	 46.44 	 28.684
304 	 554.642 	 46.593 	 28.662
305 	 556.963 	 46.557 	 28.667
306 	 559.39 	 46.356 	 28.688
307 	 560.41 	 46.49 	 29.03
308 	 561.753 	 46.893 	 29.16
309 	 562.929 	 47.049 	 29.261
310 	 564.654 	 47.162 	 29.605
311 	 565.695 	 47.259 	 29.743
312 	 567.214 	 47.319 	 30.068
313 	 568.977 	 47.564 	 30.342
314 	 571.044 	 47.707 	 30.48
315 	 572.133 	 47.999 	 30.809
316 	 574.808 	 48.242 	 30.916
317 	 575.533 	 48.486 	 31.146
318 	 577.217 	 48.545 	 31.422
319 	 578.589 	 48.709 	 31.678
320 	 579.881 	 49.037 	 31.984
321 	 581.974 	 49.188 	 32.152
322 	 583.832 	 49.146 	 32.325
323 	 584.359 	 48.951 	 32.352
324 	 585.15 	 49.011 	 32.67
325 	 586.723 	 49.368 	 32.956
326 	 587.961 	 49.366 	 33.074
327 	 589.159 	 49.939 	 33.276
328 	 589.573 	 50.333 	 33.514
329 	 592.22 	 50.215 	 33.826
330 	 594.23 	 50.38 	 34.166
331 	 594.548 	 50.729 	 34.367
332 	 595.341 	 50.882 	 34.492
333 	 598.367 	 50.965 	 34.673
334 	 599.614 	 51.408 	 34.874
335 	 601.802 	 51.418 	 35.191
336 	 603.016 	 51.533 	 35.385
337 	 603.91 	 51.754 	 35.652
338 	 605.842 	 51.962 	 35.96
339 	 607.241 	 52.403 	 36.171
340 	 608.275 	 52.935 	 36.337
341 	 609.3 	 53.315 	 36.667
342 	 612.169 	 53.426 	 36.854
343 	 614.681 	 53.531 	 37.117
344 	 616.683 	 53.772 	 37.447
345 	 618.546 	 53.816 	 37.668
346 	 620.425 	 54.126 	 37.919
347 	 622.068 	 53.912 	 38.199
348 	 624.482 	 54.166 	 38.584
349 	 626.297 	 54.461 	 38.757
350 	 627.596 	 54.576 	 39.168
351 	 629.598 	 54.933 	 39.476
352 	 630.89 	 55.052 	 39.773
353 	 631.576 	 55.161 	 40.21
354 	 634.218 	 55.096 	 40.293
355 	 636.342 	 55.269 	 40.499
356 	 637.772 	 55.699 	 40.696
357 	 638.747 	 55.959 	 40.877
358 	 640.406 	 55.867 	 40.892
359 	 643.017 	 56.228 	 41.04
360 	 644.751 	 56.057 	 41.303
361 	 647.075 	 56.353 	 41.61
362 	 650.268 	 56.992 	 41.954
363 	 652.148 	 57.172 	 42.214
364 	 653.806 	 57.12 	 42.558
365 	 655.275 	 57.264 	 42.759
366 	 658.519 	 57.59 	 42.947
367 	 661.182 	 57.894 	 43.207
368 	 662.906 	 58.162 	 43.659
369 	 664.431 	 58.869 	 44.058
370 	 666.679 	 59.457 	 44.35
371 	 668.814 	 59.704 	 44.726
372 	 670.287 	 59.813 	 45.015
373 	 671.965 	 59.833 	 45.12
374 	 673.783 	 59.805 	 45.486
375 	 675.641 	 60.001 	 45.631
376 	 676.784 	 59.987 	 45.871
377 	 677.371 	 60.181 	 46.249
378 	 677.822 	 60.54 	 46.546
379 	 679.845 	 61.016 	 46.96
380 	 682.202 	 61.524 	 47.319
381 	 683.942 	 61.471 	 47.607
382 	 686.977 	 61.558 	 47.817
383 	 688.336 	 61.974 	 48.126
384 	 690.833 	 62.074 	 48.529
385 	 692.039 	 62.228 	 48.99
386 	 693.39 	 62.135 	 49.31
387 	 695.419 	 62.041 	 49.701
388 	 695.858 	 62.407 	 50.082
389 	 697.273 	 62.354 	 50.214
390 	 698.747 	 62.671 	 50.598
391 	 699.656 	 62.95 	 50.82
392 	 702.542 	 63.006 	 51.138
393 	 704.99 	 63.119 	 51.427
394 	 706.225 	 63.299 	 51.829
395 	 706.833 	 63.344 	 52.002
396 	 706.402 	 63.496 	 52.377
397 	 707.428 	 63.296 	 52.991
398 	 709.402 	 63.395 	 53.294
399 	 710.017 	 63.618 	 53.638
400 	 711.169 	 63.956 	 53.904
401 	 712.245 	 63.89 	 54.279
402 	 714.823 	 64.152 	 54.596
403 	 716.863 	 64.218 	 54.975
404 	 718.623 	 64.089 	 55.077
405 	 720.089 	 64.352 	 55.44
406 	 721.227 	 64.639 	 56.016
407 	 723.395 	 64.943 	 56.167
408 	 726.239 	 64.914 	 56.374
409 	 726.693 	 64.798 	 56.552
410 	 727.754 	 65.212 	 56.905
411 	 729.616 	 65.486 	 57.041
412 	 729.958 	 65.434 	 57.254
413 	 730.106 	 65.636 	 57.518
414 	 731.59 	 65.63 	 57.673
415 	 732.159 	 65.871 	 57.918
416 	 733.547 	 66.243 	 58.203
417 	 734.986 	 66.498 	 58.687
